0.02	0
0.04	0
0.06	0
0.08	1
0.1	1
0.12	1
0.14	1
0.16	2
0.18	3
0.2	2
0.22	2
0.24	2
0.26	3
0.28	3
0.3	3
0.32	3
0.34	3
0.36	3
0.38	3
0.4	4
0.42	4
0.44	4
0.46	4
0.48	4
0.5	4
0.52	4
0.54	4
0.56	4
0.58	4
0.6	5
0.62	5
0.64	6
0.66	5
0.68	6
0.7	6
0.72	7
0.74	7
0.76	7
0.78	9
0.8	9
0.82	11
0.84	11
0.86	12
0.88	11
0.9	11
0.92	12
0.94	12
0.96	13
0.98	13
1	13
1.02	15
1.04	14
1.06	15
1.08	16
1.1	16
1.12	15
1.14	15
1.16	16
1.18	17
1.2	18
1.22	18
1.24	17
1.26	17
1.28	18
1.3	18
1.32	20
1.34	20
1.36	19
1.38	19
1.4	20
1.42	18
1.44	20
1.46	20
1.48	20
1.5	20
1.52	21
1.54	21
1.56	22
1.58	19
1.6	19
1.62	19
1.64	18
1.66	17
1.68	18
1.7	18
1.72	16
1.74	16
1.76	14
1.78	14
1.8	15
1.82	15
1.84	16
1.86	15
1.88	15
1.9	14
1.92	15
1.94	15
1.96	14
1.98	15
2	15
2.02	15
2.04	15
2.06	15
2.08	15
2.1	15
2.12	15
2.14	16
2.16	15
2.18	15
2.2	16
2.22	15
2.24	14
2.26	15
2.28	15
2.3	15
2.32	15
2.34	15
2.36	15
2.38	15
2.4	15
2.42	14
2.44	15
2.46	17
2.48	15
2.5	17
2.52	15
2.54	14
2.56	15
2.58	16
2.6	15
2.62	15
2.64	15
2.66	17
2.68	15
2.7	16
2.72	15
2.74	16
2.76	15
2.78	16
2.8	15
2.82	16
2.84	15
2.86	15
2.88	16
2.9	16
2.92	16
2.94	16
2.96	15
2.98	15
3	15
3.02	15
3.04	15
3.06	15
3.08	16
3.1	15
3.12	15
3.14	15
3.16	15
3.18	15
3.2	15
3.22	15
3.24	15
3.26	15
3.28	15
3.3	15
3.32	15
3.34	15
3.36	15
3.38	15
3.4	15
3.42	15
3.44	15
3.46	15
3.48	16
3.5	15
3.52	15
3.54	15
3.56	15
3.58	15
3.6	15
3.62	15
3.64	16
3.66	15
3.68	15
3.7	15
3.72	15
3.74	15
3.76	15
3.78	15
3.8	15
3.82	15
3.84	15
3.86	15
3.88	15
3.9	15
3.92	15
3.94	15
3.96	15
3.98	15
4	15
4.02	15
4.04	16
4.06	15
4.08	15
4.1	15
4.12	15
4.14	15
4.16	15
4.18	15
4.2	15
4.22	15
4.24	15
4.26	15
4.28	15
4.3	15
4.32	15
4.34	15
4.36	15
4.38	15
4.4	15
4.42	15
4.44	15
4.46	15
4.48	15
4.5	15
4.52	15
4.54	15
4.56	15
4.58	15
4.6	15
4.62	15
4.64	15
4.66	15
4.68	15
4.7	15
4.72	15
4.74	15
4.76	15
4.78	15
4.8	15
4.82	15
4.84	16
4.86	15
4.88	15
4.9	15
4.92	15
4.94	15
4.96	15
4.98	15
5	15
5.02	15
5.04	15
5.06	15
5.08	15
5.1	15
5.12	15
5.14	15
5.16	15
5.18	15
5.2	15
5.22	15
5.24	15
5.26	15
5.28	15
5.3	15
5.32	15
5.34	15
5.36	15
5.38	15
5.4	15
5.42	15
5.44	15
5.46	15
5.48	15
5.5	15
5.52	15
5.54	16
5.56	14
5.58	15
5.6	15
5.62	15
5.64	15
5.66	16
5.68	15
5.7	15
5.72	15
5.74	15
5.76	15
5.78	15
5.8	15
5.82	15
5.84	15
5.86	15
5.88	15
5.9	15
5.92	15
5.94	15
5.96	15
5.98	15
6	15
6.02	15
6.04	15
6.06	15
6.08	15
6.1	15
6.12	15
6.14	16
6.16	15
6.18	15
6.2	15
6.22	16
6.24	15
6.26	15
6.28	15
6.3	16
6.32	15
6.34	15
6.36	15
6.38	15
6.4	15
6.42	15
6.44	15
6.46	15
6.48	15
6.5	15
6.52	15
6.54	15
6.56	15
6.58	15
6.6	15
6.62	15
6.64	15
6.66	15
6.68	15
6.7	15
